codigo eusan;nombre cliente;nombre del producto;nombre del estante;codigo de barras
4-1-0-1487;AGROINDUSTRIAL MONTAÃ‘A AZUL INTERN SIGLO XXI,S.A;Yuca Congelada Coexito 500g ;;12035
4-1-0-2237;AGROINDUSTRIAL MONTAÃ‘A AZUL INTERN SIGLO XXI,S.A;Hoja de PlÃ¡tano Sabor Nuestro 1 Libra;;12428
4-1-0-1731;AGROINDUSTRIAL MONTAÃ‘A AZUL INTERN SIGLO XXI,S.A;Yuca Chips 1kg - SURYA;;14339
4-1-0-1730;AGROINDUSTRIAL MONTAÃ‘A AZUL INTERN SIGLO XXI,S.A;Yuca Congelada Trozos 1kg - SURYA ;;14340
4-1-0-2639;AGROINDUSTRIAL MONTAÃ‘A AZUL INTERN SIGLO XXI,S.A;Hoja de PlÃ¡tano Coexito 500g ;;19773
4-1-0-2641;AGROINDUSTRIAL MONTAÃ‘A AZUL INTERN SIGLO XXI,S.A;Cassava Chunks Globo 1kg.;;22948
2-0-0-4014;AGROINDUSTRIAL PROAVE S.A;Bolsa hielo 45 x 77 transparente/ PROAVE;;11980
2-0-0-4016;AGROINDUSTRIAL PROAVE S.A;Bolsa ventas 9 x 12 blanca/ PROAVE;;11992
2-0-0-4013;AGROINDUSTRIAL PROAVE S.A;Bolsa para tina sin perforar- transparente/ PROAVE;;12003
2-0-0-4015;AGROINDUSTRIAL PROAVE S.A;Bolsa ventas 15 x 23 blanca/ PROAVE;;12004
2-0-0-4226;AGROINDUSTRIAL PROAVE S.A;BOLSA TINA S/ PERFORAR ROJA/ COD 12001880;;13059
2-0-0-4227;AGROINDUSTRIAL PROAVE S.A;BOLSA TINA AMARILLA S/ PERF, / COD 12005354;;13060
2-0-0-4229;AGROINDUSTRIAL PROAVE S.A;BOLSA TINA SIN PERFORAR/ COD 12006143;;13061
2-0-0-4228;AGROINDUSTRIAL PROAVE S.A;BOLSA TINA GENERICA  PERFORADA/ COD 12005722;;13062
2-1-0-4597;AGROINDUSTRIAL PROAVE S.A;BOLSA PAQUETICOS;;14625
6-12-0-4645;AGROINDUSTRIAL PROAVE S.A;BOQUITAS PR 1000G;;14962
6-12-0-4680;AGROINDUSTRIAL PROAVE S.A;BOQUITAS 370G  PRUEBA;;14997
6-12-0-4681;AGROINDUSTRIAL PROAVE S.A;BOQUITAS 1000G 2 OP;;14998
6-12-0-4693;AGROINDUSTRIAL PROAVE S.A;BOLSA DOY PACK 5 KG 12008488;;15198
6-12-0-4772;AGROINDUSTRIAL PROAVE S.A;BOLSA  DOYPACK PASTORE/ COD 12008594;;15319
6-13-0-4870;AGROINDUSTRIAL PROAVE S.A;BOLSA BOQUITAS 370G;;15611
6-13-0-4871;AGROINDUSTRIAL PROAVE S.A;BOQUITAS 1000G;;15612
4-1-0-4988;AGROINDUSTRIAL PROAVE S.A;BOLSA TRANSPARENTE IMPR SELLO CURVO  20 X 36;;16165
4-1-0-5153;AGROINDUSTRIAL PROAVE S.A;BOLSA SELLO CURVO PASTOREO 2 KG;;16896
6-12-0-5152;AGROINDUSTRIAL PROAVE S.A;BOLSA DOY PACK POLLO PSTOREO;;16898
6-12-0-5202;AGROINDUSTRIAL PROAVE S.A;BOQUITAS PR 1000G;;17292
6-13-0-5497;AGROINDUSTRIAL PROAVE S.A;DOY PACK PECHUGAS  HIERBAS 600g / COD 12008956;;18857
6-13-0-5496;AGROINDUSTRIAL PROAVE S.A;DOY PACK ALAS HORNEADAS 600g / COD 12008934;;18859
6-9-0-5498;AGROINDUSTRIAL PROAVE S.A;DOY PACK FILET 600g ( FAJITAS HORNEADAS) / COD 12008957;;18860
6-12-0-5538;AGROINDUSTRIAL PROAVE S.A;BOLSA DOY PACK ALAS HORNEADAS 1000G/ COD 12009272;;18861
4-1-0-6348;AGROOD FRESH COMPANY S.R.L.;"Cluster Bag Bananem 10.57&quot; x 15.75&quot; x 1 MilÃ©simas";;22568
6-13-0-2980;AGROQUIMICA INDUSTRIAL RIMAC S.A ;BOLSA LAMINADA BLANCA RIMAXATO 75 WG Y ATRASINA 1 K COD 01001;;12824
6-14-0-4349;AGROQUIMICA INDUSTRIAL RIMAC S.A ;MANCOZEB 80WP   COD 01006 METALIZADO.;;13613
6-15-0-2366;AGROQUIMICA INDUSTRIAL RIMAC S.A ;BOLSA PARA AGROQUIMICOS SIN IMPRESION METALIZADA 1.KILOS  COD EM01101;;22617
6-14-0-6612;AGROQUIMICA INDUSTRIAL RIMAC S.A ;MANCOZEB 80WP   COD 01006 METALIZADO. ;;23762
2-2-0-6955;AGROSUPERIOR SOCIEDAD ANONIMA;BOLSA BLANCA 8x12 plg 3 MILS;;25185
2-2-0-6956;AGROSUPERIOR SOCIEDAD ANONIMA;BOLSA BLANCA 8x12 plg 5 MILS;;25186
2-2-0-7260;AGROSUPERIOR SOCIEDAD ANONIMA;BOLSA BLANCA 12x18 plg 5 MILS COD M075620050;;26542
6-27-0-3306;ALFARELLI FOOD S.R.L;Tortilla de MaÃ­z 250g;;12752
6-27-0-5044;ALFARELLI FOOD S.R.L;Tortilla de MaÃ­z 250g;;16467
6-0-0-383;ALIFRUTI S.A.;MERMELADA DE GUAYABA;;13646
6-13-0-4421;ALIFRUTI S.A.;BOLSA FRESA (ENYUGADO CON MORA);;14020
6-13-0-4504;ALIFRUTI S.A.;MERMELADA DE GUAYABA;;14348
6-13-0-4670;ALIFRUTI S.A.;MERMELADA DE FRESA;;14968
6-13-0-1690;ALIFRUTI S.A.;MERMELADA DE PIÃ‘A;;15787
6-13-0-5339;ALIFRUTI S.A.;MERMELADA DE PIÃ‘A;;17893
2-1-0-2108;ALIMENTOS BERMUDEZ S.A ;BOLSA INNERS WICKET NUEVA DIMENSION   PM99202  VERSION 2;;12413
2-1-0-1906;ALIMENTOS BERMUDEZ S.A ;BOLSA BASURA REPROCESO NUEVA MEDIDA  COD PM 99201;;12414
6-35-0-4107;ALIMENTOS BERMUDEZ S.A ;BOBINA film TOSTONES 200 GRS ORIGINAL RTCA COD PM 99004;;12443
28-2-0-1500;ALIMENTOS BERMUDEZ S.A ;BOLSA PARA BASURA GRANEL NEGRA JARDIN COD S 0089;;12707
28-2-0-1502;ALIMENTOS BERMUDEZ S.A ;BOLSA PARA BASURA GRANEL NEGRA GRANDE S 0090;;15547
28-2-0-1503;ALIMENTOS BERMUDEZ S.A ;BOLSA PARA BASURA GRANEL MEDIANA  S 0091;;16331
6-46-0-5402;ALIMENTOS BERMUDEZ S.A ;BOBINA FILM MALANGA  135 GRS RTCA  COD PM99070;;18141
6-46-0-5404;ALIMENTOS BERMUDEZ S.A ;BOBINAS FILM MADURITOS 160 GRS RTCA  COD 99028;;18142
6-46-0-5401;ALIMENTOS BERMUDEZ S.A ;BOBINAS FILM MADURITOS 71 GRS FDA  COD PM 99031;;18167
6-46-0-5403;ALIMENTOS BERMUDEZ S.A ;BOBINAS FILM PLATANITOS LIMON Y SAL 71 GRS RTCA  COD PM 99012;;18169
6-46-0-5405;ALIMENTOS BERMUDEZ S.A ;BOBINAS FILM PLATANITOS 180 GRS RTCA   COD PM 99009;;18170
6-46-0-5467;ALIMENTOS BERMUDEZ S.A ;BOBINNA FILM PLATANITOS 71 GRS FDA COD PM 99015;;18552
6-46-0-5736;ALIMENTOS BERMUDEZ S.A ;FILM PLATANITOS LIMON Y SAL 180 GRS RTCA   COD 99013;;19756
6-46-0-5735;ALIMENTOS BERMUDEZ S.A ;BOBINAS FILM MADURITOS 71 GRS RTCA  COD 99027;;19757
6-36-0-3562;ALIMENTOS BERMUDEZ S.A ;MUESTRA BOBINAS PLATANITOS 42 GRS SOLDANZA;;24558
6-51-0-6788;ALIMENTOS BERMUDEZ S.A ;MUESTRA DE BOBINA SOLO TACO IMPRESO 71 GRS ;;24559
6-46-0-7041;ALIMENTOS BERMUDEZ S.A ;FILM PARTY MIX 100 GRS RTCA COD PM 99092 COD BARRAS 2112;;25644
6-46-0-7095;ALIMENTOS BERMUDEZ S.A ;BOBINA PLATAMITOS CREMA CEBOLLA 42 GRS RTCA COD 99000100;;25922
6-46-0-7186;ALIMENTOS BERMUDEZ S.A ;BOBINA FILM YUQUITAS 32 GRS  CREMA CEBOLLA CON PM99059;;26254
6-46-0-7242;ALIMENTOS BERMUDEZ S.A ;BOBINAS FILM MADURITOS 71 GRS RTCA  COD 99027;;26425
6-46-0-7671;ALIMENTOS BERMUDEZ S.A ;FILM PLATANITOS CREMA CEBOLLA 42 GRS RTCA PM 9900100;;27937
6-27-0-6148;ALIMENTOS BILZA SOCIEDAD ANONIMA;BOB EXT PALITO AJONJOLI 4X50 gr;;21680
6-20-0-6149;ALIMENTOS BILZA SOCIEDAD ANONIMA;BNA GALLETA AVENA PASAS 26.6 GR;;21681
6-20-0-6150;ALIMENTOS BILZA SOCIEDAD ANONIMA;BNA GALLETA AVENA PASAS 320 GR;;21682
6-18-0-7054;ALIMENTOS BILZA SOCIEDAD ANONIMA;PALITOS AJONJOLI 50G;;25990
4-18-0-7172;ALIMENTOS BILZA SOCIEDAD ANONIMA;Palitos con Aceite de Oliva 50 gr;;26193
6-0-0-3226;ALIMENTOS CHIPPS INTERNACIONAL S.A.;BOBINA PALOMITA CHIPOP MIXTA FAMILIAR 250G;;12068
2-0-0-4137;ALIMENTOS CHIPPS INTERNACIONAL S.A.;bolsa 33 x 33;;12576
2-0-0-4166;ALIMENTOS CHIPPS INTERNACIONAL S.A.;bolsa 33 x 33;;12689
2-1-0-423;ALIMENTOS CHIPPS INTERNACIONAL S.A.;BOLSA 33 X 40;;12690
6-20-0-2072;ALIMENTOS CHIPPS INTERNACIONAL S.A.;BOBINA PALOMITAS MANTEQUILLA 15G;;12699
2-0-0-422;ALIMENTOS CHIPPS INTERNACIONAL S.A.;BOLSA 18.5 X 33;;12711
2-1-1-298;ALIMENTOS CHIPPS INTERNACIONAL S.A.;BOLSA 17 X 28;;12712
2-0-0-1371;ALIMENTOS CHIPPS INTERNACIONAL S.A.;BOLSA 24 X 42;;12714
6-0-0-1178;ALIMENTOS CHIPPS INTERNACIONAL S.A.;METALIZADO TOCINITO BBQ 19G;;12802
2-0-0-4216;ALIMENTOS CHIPPS INTERNACIONAL S.A.;bolsa 33 x 33;;13046
6-16-0-4533;ALIMENTOS CHIPPS INTERNACIONAL S.A.;PALOMITAS  MIXTAS MUNDIAL;;14463
2-1-0-4667;ALIMENTOS CHIPPS INTERNACIONAL S.A.;BOLSA 18.5 X 33;;14963
2-1-0-4668;ALIMENTOS CHIPPS INTERNACIONAL S.A.;bolsa 33 x 35;;14844
2-1-0-4715;ALIMENTOS CHIPPS INTERNACIONAL S.A.;BOLSA 17 X 24;;15164
6-16-0-5304;ALIMENTOS CHIPPS INTERNACIONAL S.A.;BOBINA PALOMITA CHIPOP MIXTA FAMILIAR 250G;;17707
6-16-0-5390;ALIMENTOS CHIPPS INTERNACIONAL S.A.;TOCINITOS LIMON 105G/ COD 602051;;18258
6-16-0-5391;ALIMENTOS CHIPPS INTERNACIONAL S.A.;BOBINA PALOMITAS CIPOP MIXTAS CARAMELO/ COD 602076;;18259
6-16-0-5481;ALIMENTOS CHIPPS INTERNACIONAL S.A.;TOCINITOS LIMON 19G/ COS 602055;;18637
6-37-0-5589;ALIMENTOS CHIPPS INTERNACIONAL S.A.;TOCINITOS LIMON23G/ COS 602055;;18979
6-20-0-5596;ALIMENTOS CHIPPS INTERNACIONAL S.A.;TOCINITOS LIMON 19G;;18990
6-16-0-5482;ALIMENTOS CHIPPS INTERNACIONAL S.A.;PALOMITAS QUESO CHEDAR 120G/ COD 602074;;19353
6-20-0-5638;ALIMENTOS CHIPPS INTERNACIONAL S.A.;BOBINA CANTARIN ROCK LIMON COD 602001;;19368
6-20-0-5639;ALIMENTOS CHIPPS INTERNACIONAL S.A.;BOBINA CANTARIN BBQ/ COD 602034;;19369
6-23-0-5730;ALIMENTOS CHIPPS INTERNACIONAL S.A.;BOBINA BILAM PILOLO FRUTAS MIXTAS , COD 602078;;19842
6-23-0-5729;ALIMENTOS CHIPPS INTERNACIONAL S.A.;BOBINA BILAM PIOLO MIXTA . COS 602077;;19843
6-20-0-5864;ALIMENTOS CHIPPS INTERNACIONAL S.A.;QUEDO CHEDAR CANTARIN ;;20422
6-20-0-5933;ALIMENTOS CHIPPS INTERNACIONAL S.A.;METALIZADO CANTARIN BARBACOA/ COD 602001;;20632
6-40-0-6018;ALIMENTOS CHIPPS INTERNACIONAL S.A.;PRUEBA BILAMINADA SELLOS;;21104
6-40-0-6096;ALIMENTOS CHIPPS INTERNACIONAL S.A.;PALOMITAS MANTEQUILLA FAMILIAR;;21524
6-20-0-6170;ALIMENTOS CHIPPS INTERNACIONAL S.A.;CANTARIN LIMON ;;21727
6-16-0-6258;ALIMENTOS CHIPPS INTERNACIONAL S.A.;PALOMITAS CHIPOP FRUTAS MIXTAS/ COD 602075;;22113
6-16-0-6347;ALIMENTOS CHIPPS INTERNACIONAL S.A.;PALOMITAS QUESO CHEDAR 120G/ COD 602074;;22558
6-62-0-6642;ALIMENTOS CHIPPS INTERNACIONAL S.A.;BOBINA QUESO INDIVIDUAL / COD 602080;;23995
6-62-0-6643;ALIMENTOS CHIPPS INTERNACIONAL S.A.;BOBINA PALOMITAS INDIVIDUAL FRUTAS/ COD 602081;;23996
6-20-0-6644;ALIMENTOS CHIPPS INTERNACIONAL S.A.;BOBINA CANTARIN BARBACOA 110G/ COD 602082;;24001
6-0-0-2394;ALIMENTOS CHIPPS INTERNACIONAL S.A.;PALOMITAS QUESO CHEDAR FAMILIAR;;24541
6-16-0-6782;ALIMENTOS CHIPPS INTERNACIONAL S.A.;TOCINITOS LIMON 19G/ COS 602055;;24553
6-62-0-7118;ALIMENTOS CHIPPS INTERNACIONAL S.A.;BOBINA CARAMELO FAMILIAR 170G/ COD 602083;;26007
6-12-0-7216;ALIMENTOS CHIPPS INTERNACIONAL S.A.;BOLSA MONSTROS MORADO;;26416
6-16-0-7252;ALIMENTOS CHIPPS INTERNACIONAL S.A.;TOCINITOS LIMON 19G/ COS 602055-- 3 pistas;;26492
6-12-0-7322;ALIMENTOS CHIPPS INTERNACIONAL S.A.;BOLSA SNOW PACK NAVIDAD;;26822
6-10-0-4798;ALIMENTOS COOK S.A;Bolsa choco frutas mini/ cod 01-03-0556;;15454
6-21-0-5785;ALIMENTOS COOK S.A;prueba cereales;;19946
6-21-0-5896;ALIMENTOS COOK S.A;BOBINA CHOCO CRISPI/ COD 03-03-0588;;20598
6-21-0-5897;ALIMENTOS COOK S.A;BOBINA SUGAR FLAKES 1 KG/ COD 03-03-0585;;20599
6-21-0-5899;ALIMENTOS COOK S.A;BOBINA HAPPY FROOTS 1 KG/ COD 03-03-0586;;20623
6-21-0-5900;ALIMENTOS COOK S.A;BOBINA CHOCOLATES FLAKES 1 KG/ 03-03-0587;;20624
6-21-0-5901;ALIMENTOS COOK S.A;BOBINA CORN FLAKES 1 KG/ COD 03-03-0589;;20625
6-21-0-5902;ALIMENTOS COOK S.A;BOBINA CORN FLAKES 350G/ COD 03-03-0117;;20627
6-21-0-5903;ALIMENTOS COOK S.A; BOBINA HAPPY FROODS 350G/ COD 03-03-0118;;20628
6-21-0-5922;ALIMENTOS COOK S.A;BOBINA HAPPY FROODS 500G/ COD 03-03-0549;;20629
6-21-0-6031;ALIMENTOS COOK S.A;BOBINA MILK FLAKES 1 KG/ COD 03-03-0592;;21238
6-21-0-6088;ALIMENTOS COOK S.A;BOBINA TRI CEREAL 800G/ COD 03-03-0593;;21428
6-21-0-6091;ALIMENTOS COOK S.A;BOBINA MILK FLAKES 350G/ COD 03-03-0119;;21430
6-21-0-6092;ALIMENTOS COOK S.A;SUGAR FLAKES 500G/ COD 03-03-0548;;21431
6-21-0-6260;ALIMENTOS COOK S.A;BOBINA CORN FLAKES 500G/ COD 03-03-0569;;22214
6-21-0-6296;ALIMENTOS COOK S.A;SUGAR FLAKES 500G/ COD 03-03-0548;;22282
6-21-0-6504;ALIMENTOS COOK S.A;BOBINA CHOCOLATE FLAKES 500G/ COD 03/03-0567;;23295
6-21-0-6531;ALIMENTOS COOK S.A;BOBINA CHOCO CRISPY 500G/ COD 03-03-0568;;23382
6-21-0-6581;ALIMENTOS COOK S.A;BOBINA SUGAR FLAKES 1.2 KG/ COD 03-03-0600;;23648
6-21-0-6582;ALIMENTOS COOK S.A;BOBINA CORN FLAKES 1.2KG / COD 03-03-0599;;23649
6-21-0-6638;ALIMENTOS COOK S.A;BOBINA CORN FLAKES 170G / COD 03-03-0135;;23965
6-21-0-6701;ALIMENTOS COOK S.A;BOBINA CHOCO MILK SHAKES 1 KG / COD 03-03-0312;;24293
6-11-0-7275;ALIMENTOS COOK S.A;BOBINA PARA EMPANIZADOR 120G/ COD 03-03-0611;;26631
6-62-0-7315;ALIMENTOS COOK S.A;: BOBINA PARA EMPANIZADOR 120G/ COD 03-03-0611;;26832
4-4-0-3659;ALIMENTOS JACKS DE CENTROAMERICA S.A;SORBETICO NARANITAS 12 PACK 300G/ COD 032875;;12111
4-4-0-3658;ALIMENTOS JACKS DE CENTROAMERICA S.A;SORBETICO RODITAS 12 PACK-300G/ COD 032876;;12112
4-0-0-4058;ALIMENTOS JACKS DE CENTROAMERICA S.A;TAPAS DE CANELA ZEN 210G/ COD 032999;;12141
4-4-0-4059;ALIMENTOS JACKS DE CENTROAMERICA S.A;TAPAS DE VAINILLA 210G / COD 032985;;12142
4-4-0-4060;ALIMENTOS JACKS DE CENTROAMERICA S.A;GALLETAS ACHOCOLATADAS 6 UDS/ COD 033003;;12143
6-0-0-707;ALIMENTOS JACKS DE CENTROAMERICA S.A;BOB MENEITOS 175G / COD 031868;;12398
4-0-0-2207;ALIMENTOS JACKS DE CENTROAMERICA S.A;BOLSA 5 PACKS POPI 100G / COD 032253;;12569
2-1-0-4128;ALIMENTOS JACKS DE CENTROAMERICA S.A;prueba 4 pack;;12845
6-20-0-1623;ALIMENTOS JACKS DE CENTROAMERICA S.A;POROPOZ SIN PESO / COD 19480;;12848
6-0-0-642;ALIMENTOS JACKS DE CENTROAMERICA S.A;MENEITOS 56 G/ COD 19479;;12953
6-0-0-74;ALIMENTOS JACKS DE CENTROAMERICA S.A;MENEITOS CLASICOS SIN PESO / COD 103963;;12954
4-0-0-386;ALIMENTOS JACKS DE CENTROAMERICA S.A;SORBETICO CREMA 22G;;12957
6-27-0-2655;ALIMENTOS JACKS DE CENTROAMERICA S.A;BARQUILLO COMBINADO 42G/ COD 19465;;12958
2-0-0-1093;ALIMENTOS JACKS DE CENTROAMERICA S.A;bolsa 10 pack/ cod 07156;;12959
6-0-0-644;ALIMENTOS JACKS DE CENTROAMERICA S.A;PLATANOS LILIANA 90G/ COD 10402;;12961
6-20-0-2891;ALIMENTOS JACKS DE CENTROAMERICA S.A;POROPOZ 70G/ COD 17586;;12964
6-20-0-2069;ALIMENTOS JACKS DE CENTROAMERICA S.A;CEBOLLINOS 30 G/ COD 032346;;12966
6-20-0-2071;ALIMENTOS JACKS DE CENTROAMERICA S.A;CEBOLLINOS 60G/ COD 032371;;12967
6-20-0-2890;ALIMENTOS JACKS DE CENTROAMERICA S.A;PICARITAS JALAPEÃ‘ÃS 75G/ COD 032410;;12968
6-20-0-2858;ALIMENTOS JACKS DE CENTROAMERICA S.A;PICARITAS JALAPEÃ‘AS SIN PESO/ COD 032409;;12970
6-20-0-2179;ALIMENTOS JACKS DE CENTROAMERICA S.A;CEREAL FUSION RODITAS/NARANITAS 500G/ COD 032441;;12973
6-20-0-1303;ALIMENTOS JACKS DE CENTROAMERICA S.A;SORBETICO FRESA 22G/ COD 010388;;12974
6-0-0-770;ALIMENTOS JACKS DE CENTROAMERICA S.A;SORBETICO CHOCOLATE 22G/  COD 10391;;12975
6-0-0-1196;ALIMENTOS JACKS DE CENTROAMERICA S.A;CEREAL FUSION NARANITA-RODITA 30G/ COD 07132;;12976
6-20-0-2878;ALIMENTOS JACKS DE CENTROAMERICA S.A;POPI CARAMELOY MANI 70G/ COD 010407;;12978
6-0-0-390;ALIMENTOS JACKS DE CENTROAMERICA S.A;MENEITOS 115G / COD 019478;;12979
4-0-0-1805;ALIMENTOS JACKS DE CENTROAMERICA S.A;BOLSA 8 PACK LONCHERA SURTIDA 230G;;12981
4-0-0-1096;ALIMENTOS JACKS DE CENTROAMERICA S.A;bolsa 3 pack familiar/ cod 11635;;12982
4-4-0-4203;ALIMENTOS JACKS DE CENTROAMERICA S.A;SORBETICO TRIJUELAS 12 PACK 300G/ COD 033068;;12984
6-20-0-3483;ALIMENTOS JACKS DE CENTROAMERICA S.A;BOBINA SORB FRUIT PUNCH 22G / COD 10375;;13080
6-27-0-2656;ALIMENTOS JACKS DE CENTROAMERICA S.A;BARQUILLO CHOCOLATE 65G / COD 11397;;13081
6-0-0-2257;ALIMENTOS JACKS DE CENTROAMERICA S.A;Popi Caramelo sin peso / COD 019466;;13096
6-0-0-112;ALIMENTOS JACKS DE CENTROAMERICA S.A;BIZCOCHO LILIANA 100G /COD PROD 11401;;13098
6-0-0-536;ALIMENTOS JACKS DE CENTROAMERICA S.A;SORBETICO BANANO PIÃ‘A 22/ COD 11610;;13099
2-0-0-3416;ALIMENTOS JACKS DE CENTROAMERICA S.A;BOLSA RETORNO;;13118
2-0-0-3415;ALIMENTOS JACKS DE CENTROAMERICA S.A;BOLSA 12 UNIDADES  / COD 010311;;13119
2-0-0-3417;ALIMENTOS JACKS DE CENTROAMERICA S.A;BOLSA 24 UNIDADES / COD  010309;;13120
2-0-0-4284;ALIMENTOS JACKS DE CENTROAMERICA S.A;BOLSA GRANEL GENERICA;;13375
2-0-0-4282;ALIMENTOS JACKS DE CENTROAMERICA S.A;BOLSA BARQUILLO 385 X 220/ COD 10321;;13376
2-1-0-4283;ALIMENTOS JACKS DE CENTROAMERICA S.A;SORBETICO JUMBO 320X190/ COD 10312;;13377
2-1-0-4308;ALIMENTOS JACKS DE CENTROAMERICA S.A;bolsa 10 pack/ cod 07156;;13627
4-1-0-4292;ALIMENTOS JACKS DE CENTROAMERICA S.A;bolsa 3 pack familiar/ cod 11635;;13696
6-20-0-4390;ALIMENTOS JACKS DE CENTROAMERICA S.A;MENEITOS CLASICOS SIN PESO / COD 103963;;13697
4-1-0-4369;ALIMENTOS JACKS DE CENTROAMERICA S.A;BOLSA 8 PACK LONCHERA SURTIDA 230G;;13700
6-20-0-1798;ALIMENTOS JACKS DE CENTROAMERICA S.A;SORB CHOQUINO 25G 145MM/ COD 010390;;13811
6-20-0-4594;ALIMENTOS JACKS DE CENTROAMERICA S.A;BOB MENEITOS 175G / COD 031868;;14647
6-20-0-2070;ALIMENTOS JACKS DE CENTROAMERICA S.A;CEBOLLINOS SIN PESO/ COD 032345;;14813
2-1-0-1092;ALIMENTOS JACKS DE CENTROAMERICA S.A;bolsa 30 pack/ cereales 45.9 x 46 07163;;14830
6-20-0-1304;ALIMENTOS JACKS DE CENTROAMERICA S.A;CEREAL FUSION NARANITA-RODITA 200G/ COD 011527;;14833
